nFamilies	nSpeciesPerFamily	nSampledSpeciesPerFamily	nResourcesPerClass	leakageFraction	preferenceStrength	byproductSparsity	metabolism	r	p
8	168	38	8	0.639457553504755	0.5678839802859634	1.0806513898299392	specific	-0.1438556092475246	5.3613330286383845e-20
5	183	79	12	0.576853553730077	0.22304820645436318	0.7802367768051736	specific	0.026447737677417656	5.2848199568370446e-20
6	165	81	11	0.56015674867917	0.2243182583158283	0.5851374264306993	specific	-0.4098820474791054	5.50214633476603e-16
5	259	47	6	0.6718350280125266	0.5275296044854353	6.904127320995178	specific	0.24746093864808957	1.4889821215132623e-12
8	288	85	5	0.760041183510893	0.35138314470367715	2.4407761122341767	common	-0.40934534139066586	6.07277658656263e-19
5	228	90	15	0.5981182856219935	0.3073402993454081	0.2005899908338603	specific	-0.10901742174435686	2.0627442307955324e-19
6	219	27	6	0.5544154438160565	0.2821978839339627	1.3685785639237733	specific	-0.05528784760261928	1.3267588055225938e-10
4	209	46	15	0.5209617624158929	0.17822397725863282	0.10632859382855481	specific	-0.27480579655770915	3.6760578225374286e-16
4	216	23	15	0.7029394500657948	0.24311701728433877	0.9988321861173889	specific	-0.4004095154137755	2.148237471755365e-16
6	177	69	5	0.5851795031726941	0.8335848544503806	0.1834790209577505	common	-0.20639807965121132	4.567890787486146e-10
6	162	60	14	0.7614541456576319	0.680004230072706	0.22830249336807462	specific	-0.026027290885569095	7.52854155833227e-07
8	287	52	11	0.581157235738141	0.5525756957241744	2.025033571365492	common	0.33666503582341145	1.1697742049478424e-10
4	264	96	6	0.5057462636109332	0.7259477121582317	3.118424232447913	specific	0.01683796849000938	1.3430945109627121e-06
7	231	36	6	0.7903586454564899	0.8942931960407617	0.4540717998479103	common	-0.28062166108271946	4.887956261776143e-07
3	245	37	3	0.5602859098428735	0.3150111359531047	5.496405728430514	specific	0.20891650899351877	1.4881800108327683e-10
8	226	93	5	0.7999630598124412	0.34234937313454894	1.3294293519922507	specific	-0.13723182438016637	8.028614162187319e-15
5	274	28	10	0.6452256567360972	0.019831046121036366	9.911912808012666	common	-0.7552672937040867	0.002843721604544556
4	255	57	10	0.690250562010909	0.835498841801147	0.5995474709725593	common	-0.47634440736997596	4.072260100108321e-12
4	197	74	15	0.5325870094182282	0.7819545587193043	1.6708497832798306	common	-0.23962226809078296	4.305475607893603e-07
6	224	36	3	0.6155097330082779	0.4923307754576941	0.23901638832547417	specific	0.07162730803023395	6.953885894168467e-17
